temperature,humidity,timestamp
19.0,90.0,2020-10-05 04:28:32.353861
17.0,92.0,2020-10-05 04:30:31.877222
17.0,91.0,2020-10-05 04:31:32.415128
17.0,91.0,2020-10-05 04:32:32.924278
16.0,91.0,2020-10-05 04:33:33.426358
16.0,90.0,2020-10-05 04:34:33.799198
16.0,91.0,2020-10-05 04:35:34.306447
16.0,91.0,2020-10-05 04:36:34.820345
16.0,91.0,2020-10-05 04:46:22.723176
16.0,92.0,2020-10-05 04:47:23.244687
16.0,92.0,2020-10-05 05:01:38.750105
16.0,92.0,2020-10-05 05:02:39.277476
16.0,91.0,2020-10-05 05:03:39.791719
16.0,92.0,2020-10-05 05:48:55.154184
14.0,91.0,2020-10-05 06:13:44.810918
14.0,91.0,2020-10-05 06:14:56.253722
14.0,91.0,2020-10-05 06:15:56.716369
15.0,91.0,2020-10-05 06:16:57.154049
15.0,91.0,2020-10-05 06:17:57.625913
16.0,91.0,2020-10-05 06:18:58.117467
16.0,90.0,2020-10-05 06:19:58.588700
16.0,89.0,2020-10-05 06:23:28.306358
17.0,87.0,2020-10-05 06:28:39.739456
17.0,87.0,2020-10-05 06:33:40.243892
17.0,86.0,2020-10-05 06:38:40.743723
17.0,86.0,2020-10-05 06:43:41.243618
17.0,85.0,2020-10-05 06:48:41.742519
17.0,85.0,2020-10-05 06:53:42.242576
17.0,85.0,2020-10-05 06:58:42.741476
17.0,85.0,2020-10-05 07:05:06.444827
17.0,83.0,2020-10-05 07:07:08.121965
17.0,83.0,2020-10-05 07:12:20.093469
17.0,85.0,2020-10-05 07:17:20.616449
17.0,85.0,2020-10-05 07:22:21.157241
18.0,86.0,2020-10-05 07:27:21.666118
18.0,86.0,2020-10-05 07:32:22.215976
18.0,86.0,2020-10-05 07:37:22.731630
18.0,86.0,2020-10-05 07:42:23.270715
18.0,86.0,2020-10-05 07:47:23.726026
18.0,86.0,2020-10-05 07:52:24.226860
18.0,86.0,2020-10-05 07:57:24.769405
18.0,86.0,2020-10-05 08:02:25.317365
18.0,86.0,2020-10-05 08:07:25.771044
18.0,86.0,2020-10-05 08:12:26.272177
18.0,86.0,2020-10-05 08:17:26.821222
18.0,86.0,2020-10-05 08:22:27.327060
18.0,86.0,2020-10-05 08:27:27.802947
18.0,86.0,2020-10-06 00:50:08.125191
21.0,78.0,2020-10-06 00:55:20.156446
21.0,78.0,2020-10-06 01:00:20.615926
21.0,78.0,2020-10-06 01:05:21.164925
21.0,78.0,2020-10-06 01:10:21.715554
21.0,79.0,2020-10-06 01:15:22.169225
21.0,79.0,2020-10-06 01:20:22.706864
21.0,79.0,2020-10-06 01:25:23.233467
21.0,79.0,2020-10-10 17:23:31.772116
20.0,87.0,2020-10-10 17:28:32.171901
20.0,86.0,2020-10-10 17:33:32.727238
20.0,85.0,2020-10-10 17:38:33.247381
20.0,84.0,2020-10-10 17:56:13.920206
20.0,84.0,2020-10-10 18:01:14.493391
20.0,84.0,2020-10-10 18:06:15.065983
20.0,83.0,2020-10-10 18:11:15.630463
20.0,83.0,2020-10-10 18:16:16.202805
20.0,84.0,2020-10-10 18:21:16.767609
20.0,81.0,2020-10-10 18:26:17.241881
19.0,84.0,2020-10-10 18:31:17.764955
19.0,85.0,2020-10-10 18:36:18.347201
18.0,87.0,2020-10-10 18:41:18.917084
18.0,88.0,2020-10-10 18:46:19.487081
18.0,89.0,2020-10-10 18:51:20.057035
18.0,90.0,2020-10-10 18:56:20.576867
18.0,91.0,2020-10-10 19:01:21.141725
18.0,90.0,2020-10-10 19:06:21.712531
18.0,90.0,2020-10-10 19:11:22.267161
19.0,88.0,2020-10-10 19:16:22.832341
19.0,87.0,2020-10-10 19:21:23.384605
19.0,86.0,2020-10-10 19:26:23.922048
19.0,85.0,2020-10-10 19:31:24.433553
19.0,85.0,2020-10-10 19:36:24.933112
19.0,84.0,2020-10-10 19:41:25.516772
20.0,83.0,2020-10-10 19:46:25.997258
20.0,83.0,2020-10-10 19:51:26.567214
20.0,83.0,2020-10-10 19:56:27.057283
20.0,83.0,2020-10-10 20:01:27.627236
20.0,81.0,2020-10-10 20:06:28.197117
19.0,81.0,2020-10-10 20:11:28.757342
19.0,82.0,2020-10-10 20:16:29.247217
19.0,84.0,2020-10-10 20:21:29.817236
19.0,82.0,2020-10-10 20:26:30.377237
19.0,81.0,2020-10-10 20:31:30.867510
19.0,84.0,2020-10-10 20:36:31.427463
19.0,84.0,2020-10-10 20:33:19.099446
19.0,80.0,2020-10-10 20:56:44.783178
20.0,79.0,2020-10-10 20:55:57.675855
19.0,78.0,2020-10-10 21:05:50.326709
19.0,82.0,2020-10-10 21:10:50.882152
19.0,81.0,2020-10-10 21:15:51.407102
19.0,83.0,2020-10-10 21:20:51.906153
18.0,82.0,2020-10-10 21:25:52.461257
19.0,77.0,2020-10-10 21:17:54.565278
19.0,78.0,2020-10-10 21:35:15.222752
19.0,79.0,2020-10-10 21:40:15.680844
19.0,79.0,2020-10-10 21:45:16.190881
19.0,80.0,2020-10-10 21:40:21.854863
19.0,80.0,2020-10-10 21:51:52.545242
19.0,83.0,2020-10-10 21:56:53.095923
19.0,82.0,2020-10-10 22:01:53.646721
19.0,81.0,2020-10-10 22:06:54.155411
19.0,82.0,2020-10-10 22:03:54.881619
19.0,81.0,2020-10-10 22:19:10.480331
19.0,83.0,2020-10-10 22:24:11.025859
18.0,83.0,2020-10-10 22:29:11.574652
19.0,84.0,2020-10-10 22:22:44.221513
18.0,83.0,2020-10-10 22:36:04.183029
18.0,89.0,2020-10-10 22:41:04.711742
18.0,86.0,2020-10-10 22:46:05.235756
18.0,87.0,2020-10-10 22:50:15.118366
18.0,88.0,2020-10-10 22:55:26.773811
18.0,87.0,2020-10-10 23:00:27.326324
,,2020-10-10 23:05:41.606725
18.0,81.0,2020-10-10 23:10:53.798562
18.0,81.0,2020-10-10 23:15:54.265107
18.0,83.0,2020-10-10 23:20:54.819356
18.0,83.0,2020-10-10 23:25:55.374926
18.0,84.0,2020-10-10 23:30:55.848410
18.0,84.0,2020-10-10 23:35:56.320977
17.0,81.0,2020-10-10 23:40:56.862737
17.0,81.0,2020-10-10 23:45:57.392146
17.0,81.0,2020-10-10 23:50:57.947820
17.0,82.0,2020-10-10 23:55:58.435972
17.0,82.0,2020-10-11 00:00:58.909884
17.0,83.0,2020-10-11 00:05:59.364787
17.0,83.0,2020-10-11 00:10:59.808951
17.0,85.0,2020-10-11 00:16:00.329625
17.0,83.0,2020-10-11 00:21:00.879947
18.0,88.0,2020-10-11 00:26:01.421193
18.0,87.0,2020-10-11 00:31:01.890404
18.0,87.0,2020-10-11 00:36:02.292732
19.0,88.0,2020-10-11 00:41:02.849331
18.0,87.0,2020-10-11 00:46:03.384923
